z_column,releases,R_DIS_all
ALL,2017-12-27 04:00:00,303.5247119442112
ALL,2017-12-27 05:00:00,295.58411867339885
ALL,2017-12-27 06:00:00,314.3174380026109
ALL,2017-12-27 07:00:00,342.2190216757111
ALL,2017-12-27 08:00:00,344.03269441154333
ALL,2017-12-27 09:00:00,365.5688322333473
ALL,2017-12-27 10:00:00,336.42748760247065
ALL,2017-12-27 11:00:00,365.5807471078805
ALL,2017-12-27 12:00:00,385.9173162293188
ALL,2017-12-27 13:00:00,418.5964273422159
ALL,2017-12-27 14:00:00,420.6814244851812
ALL,2017-12-27 15:00:00,420.4294786964068
ALL,2017-12-27 16:00:00,416.33081443045245
ALL,2017-12-27 17:00:00,417.5154760752212
ALL,2017-12-27 18:00:00,422.6239814535505
ALL,2017-12-27 19:00:00,405.3484706845915
ALL,2017-12-27 20:00:00,404.99501168801714
ALL,2017-12-27 21:00:00,415.51304406313216
ALL,2017-12-27 22:00:00,416.9730580236036
ALL,2017-12-27 23:00:00,409.8805201226868
ALL,2017-12-28 00:00:00,405.9705605778041
ALL,2017-12-28 01:00:00,405.1030013955914
ALL,2017-12-28 02:00:00,435.7871454015827
ALL,2017-12-28 03:00:00,433.4446853258443
ALL,2017-12-28 04:00:00,449.7418820394831
ALL,2017-12-28 05:00:00,520.1175093411305
ALL,2017-12-28 06:00:00,501.8165366404988
ALL,2017-12-28 07:00:00,540.329771762149
ALL,2017-12-28 08:00:00,509.3545151089753
ALL,2017-12-28 09:00:00,553.6554002663104
ALL,2017-12-28 10:00:00,619.9180754280205
ALL,2017-12-28 11:00:00,604.0504490296812
ALL,2017-12-28 12:00:00,567.9603661560712
ALL,2017-12-28 13:00:00,546.0400656122758
ALL,2017-12-28 14:00:00,557.9879347769997
ALL,2017-12-28 15:00:00,539.893787381913
ALL,2017-12-28 16:00:00,543.9907211281079
ALL,2017-12-28 17:00:00,538.6660399770531
ALL,2017-12-28 18:00:00,564.869032280145
ALL,2017-12-28 19:00:00,605.694222484359
ALL,2017-12-28 20:00:00,583.3659612818693
ALL,2017-12-28 21:00:00,575.4073848760916
ALL,2017-12-28 22:00:00,609.9818050336038
ALL,2017-12-28 23:00:00,595.3460334677952
ALL,2017-12-29 00:00:00,586.7253109019423
ALL,2017-12-29 01:00:00,571.4465425593775
ALL,2017-12-29 02:00:00,519.703553260721
ALL,2017-12-29 03:00:00,493.62800190508614
